CPS School ID,CPS School Name,School Type,Network,ISBE RCDTS Code,Number of Teachers Expected
400153,ACERO - BRIGHTON PARK,ES,Charter,15016299025270C,33
400101,ACERO - CISNEROS,ES,Charter,15016299025266C,34
400120,ACERO - CLEMENTE,ES,Charter,15016299025268C,35
400121,ACERO - DE LA CRUZ,ES,Charter,15016299025049C,33
400081,ACERO - DE LAS CASAS,ES,Charter,15016299025262C,30
400082,ACERO - FUENTES,ES,Charter,15016299025261C,32
400085,ACERO - GARCIA HS,HS,Charter,15016299025085C,43
400112,ACERO - IDAR,ES,Charter,15016299025284C,37
400089,ACERO - MARQUEZ,ES,Charter,15016299025263C,37
400083,ACERO - PAZ,ES,Charter,15016299025259C,40
400114,ACERO - SANTIAGO,ES,Charter,15016299025267C,45
400149,ACERO - SOTO HS,HS,Charter,15016299025086C,36
400084,ACERO - TAMAYO,ES,Charter,15016299025260C,37
400080,ACERO - TORRES,ES,Charter,15016299025285C,45
400079,ACERO - ZIZUMBO,ES,Charter,15016299025264C,32
400151,LEARN - 7,ES,Charter,15016299025276C,47
400046,LEARN - BUTLER,ES,Charter,15016299025283C,36
400047,LEARN - CAMPBELL,ES,Charter,15016299025273C,42
400165,LEARN - MIDDLE,ES,Charter,15016299025109C,35
400107,LEARN - SOUTH CHICAGO,ES,Charter,15016299025274C,45
400134,YCCS - ADDAMS,HS,Options,15016299025064C,43
400125,YCCS - ASPIRA PANTOJA,HS,Options,15016299025056C,41
400126,YCCS - ASSOCIATION HOUSE,HS,Options,15016299025057C,33
400127,YCCS - AUSTIN CAREER,HS,Options,15016299025058C,34
400131,YCCS - CAMPOS,HS,Options,15016299025062C,44
400128,YCCS - CCA ACADEMY,HS,Options,15016299025059C,78
400150,YCCS - CHATHAM,HS,Options,15016299025073C,26
400133,YCCS - INNOVATIONS,HS,Options,15016299025063C,40
400135,YCCS - LATINO YOUTH,HS,Options,15016299025065C,35
400124,YCCS - MCKINLEY,HS,Options,15016299025055C,42
400136,YCCS - OLIVE HARVEY,HS,Options,15016299025066C,40
400129,YCCS - PROGRESSIVE LEADERSHIP,HS,Options,15016299025060C,37
400123,YCCS - SCHOLASTIC ACHIEVEMENT,HS,Options,15016299025054C,29
400139,YCCS - SULLIVAN,HS,Options,15016299025067C,35
400141,YCCS - TRUMAN,HS,Options,15016299025068C,38
400142,YCCS - VIRTUAL,HS,Options,15016299025069C,34
400144,YCCS - WEST,HS,Options,15016299025071C,42
400143,YCCS - WEST TOWN,HS,Options,15016299025070C,41
400145,YCCS - YOUTH CONNECTION,HS,Options,15016299025072C,37
400130,YCCS - YOUTH DEVELOPMENT,HS,Options,15016299025061C,47
